ticker,return,volatility,draw_down,max_draw_down,sharpe
Avg_SP500,1.3314522903,0.2914419941,-0.2636115417,-0.5883285466,0.1986457842
industrials,1.0526899788,0.2748346425,-0.2130592651,-0.588505482,0.2236172803
health_care,1.8802022405,0.2490466089,-0.2128365062,-0.5022984859,0.2340417902
information_technology,1.492072414,0.2926924459,-0.2602543771,-0.58519332,0.1844558474
consumer_discretionary,0.87343901,0.2890474564,-0.351078866,-0.621003437,0.1619776157
utilities,0.7320256021,0.2034806582,-0.1284213711,-0.4761959169,0.2674101696
financials,0.3521957531,0.3807212744,-0.4647730553,-0.6883748998,0.0533184284
materials,1.5869106562,0.284774042,-0.2217458979,-0.6160174209,0.235020094
consumer_staples,2.5376048998,0.189644745,-0.1557446296,-0.4137747217,0.2737811589
real_estate,1.567450239,0.3956443656,-0.2709779943,-0.6985796066,0.2239825946
energy,2.561735171,0.3246808561,-0.0944439505,-0.6337228375,0.3233344301
telecommunications_services,-0.0345276655,0.2984644754,-0.3794530117,-0.5854462615,0.0003618641
MMM,0.4950060026,0.196813852,-0.2647874565,-0.5435512501,0.2083988235
AYI,2.0447975132,0.3211972378,-0.0380972595,-0.617340206,0.3665316982
ALK,0.9057129587,0.444770495,-0.4983743614,-0.7576301616,0.1497013391
ALLE,0,0,0,0,0
AAL,-0.6694300518,0.6514707004,-0.9088082902,-0.9720413026,-0.160786151
AME,2.1683200026,0.2414770824,-0.0028431119,-0.534252424,0.5059731336
ARNC,-0.4476715734,0.3998312061,-0.7626341509,-0.8829468027,-0.1440891749
BA,1.2062462357,0.2503448469,-0.10774507,-0.7147893767,0.3287863404
CHRW,2.6140187334,0.2879311926,0,-0.4237844278,0.4759560117
CAT,1.6333700095,0.2927361039,-0.1014851888,-0.7343821524,0.3471608025
CTAS,-0.2160106648,0.2339030149,-0.4535679878,-0.6136559165,-0.102746675
CSX,2.5544880886,0.3015648042,-0.0388997079,-0.6955463077,0.4481834454
CMI,6.5631217405,0.4034133411,-0.0454781705,-0.7565338298,0.5556359458
DE,1.6694066825,0.3254897438,-0.0395846853,-0.7326186815,0.3168278988
DAL,-0.4353281853,0.4758464519,-0.8103281853,-0.8172942817,-0.1166910577
DOV,0.7082961278,0.2530507301,-0.2329850579,-0.5838870938,0.2172954738
DNB,0.8836760908,0.1929389138,-0.0197850513,-0.3867719415,0.3386741217
ETN,1.0873783292,0.2614312409,-0.1390641838,-0.689738845,0.2919876397
EMR,1.252567782,0.2480895317,-0.0264274691,-0.5611428723,0.3408457217
EFX,0.2522404301,0.2288122132,-0.2195733168,-0.5682293407,0.099378941
EXPD,1.2489327465,0.3137767391,-0.0795200893,-0.5808438767,0.268933828
FAST,2.1384320206,0.3019949634,-0.0282453638,-0.5195971114,0.4010604095
FDX,0.3927024505,0.2631296729,-0.4293154979,-0.7131043918,0.1279431691
FLS,4.6988661764,0.3800834279,-0.0923566879,-0.7310483064,0.499902254
