,bench mark,,,,,moving average,,,,,moving average with short sell,,,,,moving average with support price,,,,,moving average support volatility,,,,,moving average double support volatility,,,,,,Comparison of Return,,,,Comparison of Max Draw Down,,,,Comparison of Sharpe Ratio,,
ticker,bench mark return,bench mark volatility,bench mark draw_down,bench mark max_draw_down,bench mark sharpe,moving average return,moving average volatility,moving average draw_down,moving average max_draw_down,moving average sharpe,moving average with short sell return,moving average with short sell volatility,moving average with short sell draw_down,moving average with short sell max_draw_down,moving average with short sell sharpe,moving average with support price return,moving average with support price volatility,moving average with support price draw_down,moving average with support price max_draw_down,moving average with support price sharpe,moving average support volatility return,moving average support volatility volatility,moving average support volatility draw_down,moving average support volatility max_draw_down,moving average support volatility sharpe,moving average double support volatility return,moving average double support volatility volatility,moving average double support volatility draw_down,moving average double support volatility max_draw_down,moving average double support volatility sharpe,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff,,Support Signal diff,Volatility Signal diff,Double Vol Signal Diff
MMM,0.5425282918,0.1973515096,-0.2597813668,-0.5435512501,0.2243569335,0.5977860263,0.1357846822,-0.0516033964,-0.3170229643,0.3531888136,0.3492686237,0.1970426439,-0.2726504966,-0.3859542036,0.1542667576,0.5816001465,0.1238087754,-0.0148560817,-0.2634031961,0.3787420153,0.1813419122,0.1089894139,-0.0148560817,-0.2490525522,0.154124718,0.1036713733,0.1546187112,-0.071304444,-0.427328756,0.0640870175,,-0.0161858798,-0.4002582343,-0.0776705389,,0.0536197682,0.0143506439,-0.1782762038,,0.0255532017,-0.2246172973,-0.0900377005
AYI,2.1725507058,0.3218928088,-0.0800525918,-0.617340206,0.3800352455,0.9363722586,0.2109666906,-0.0955210764,-0.4311635681,0.3236799522,-0.3547200166,0.3236508383,-0.3955849596,-0.7009628689,-0.1323792664,1.7526343678,0.2232916205,-0.0800525918,-0.3961118566,0.4770215232,0.7667749971,0.11150335,-0.0082644628,-0.1989162339,0.5250277948,0.8034948011,0.1251130062,-0.0082644628,-0.2594187298,0.4853308378,,0.8162621092,-0.9858593707,0.036719804,,0.0350517115,0.1971956227,-0.0605024959,,0.153341571,0.0480062716,-0.039696957
ALK,1.0644864118,0.4446409198,-0.5025333947,-0.7576301616,0.1690103135,-0.3080740283,0.2925863162,-0.6472865058,-0.7670611828,-0.1235312359,-0.9334997004,0.4591500848,-0.9560042984,-0.9674788319,-0.5169174818,-0.2565093716,0.2859114684,-0.6559572594,-0.7641563657,-0.1021066154,0,0,0,0,0,0,0,0,0,0,,0.0515646567,0.2565093716,0,,0.0029048171,0.7641563657,0,,0.0214246205,0.1021066154,0
ALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
AAL,-0.632642487,0.6524408932,-0.9088082902,-0.9720413026,-0.1459976109,2.5143903623,0.3930267892,-0.3789969074,-0.7153773739,0.340612315,0.6391055623,0.7022247741,-0.8018814661,-0.9112106201,0.0721073931,0.0081362904,0.3036616291,-0.506596202,-0.6118050043,0.0026685659,0,0,0,0,0,0,0,0,0,0,,-2.5062540719,-0.0081362904,0,,0.1035723696,0.6118050043,0,,-0.3379437491,-0.0026685659,0
AME,2.2677698757,0.2420063639,-0.0393230463,-0.534252424,0.5192141707,0.461079596,0.1729423864,-0.0393230463,-0.4187119301,0.2233683638,-0.5114424946,0.2437305829,-0.5753436263,-0.6571658092,-0.2835011713,2.1174496059,0.1740807442,-0.0393230463,-0.2326305858,0.6914419012,1.0471515133,0.1397658545,-0.0507236735,-0.2265638047,0.531195997,1.8413455656,0.1660128404,-0.0507236735,-0.216272133,0.6627732155,,1.6563700099,-1.0702980926,0.7941940523,,0.1860813443,0.0060667811,0.0102916717,,0.4680735374,-0.1602459042,0.1315772185
ARNC,-0.4304263368,0.4004977896,-0.7623523553,-0.8829468027,-0.1366066267,-0.365336452,0.2407345253,-0.4019970437,-0.5565565596,-0.1845624898,-0.7329519287,0.4053984905,-0.783032209,-0.8374528044,-0.3049872279,-0.2425769118,0.2133716558,-0.3837716982,-0.5777316747,-0.1283681116,-0.0308326223,0.1011245123,-0.1132896258,-0.2640887735,-0.0309089026,0.126664693,0.1333386891,-0.276122998,-0.290997183,0.0899419479,,0.1227595402,0.2117442895,0.1574973153,,-0.0211751151,0.3136429012,-0.0269084095,,0.0561943782,0.097459209,0.1208508505
BA,1.2962855661,0.2512983595,-0.1125639568,-0.7147893767,0.3447940208,1.5962550035,0.1660891617,0,-0.363350002,0.6024748597,1.0464824746,0.2536255722,-0.0300990871,-0.4979023506,0.292588649,3.2677271155,0.1690424476,-0.0166035537,-0.2365122025,0.9234219799,1.1287420212,0.1267016277,-0.1172980374,-0.1531789506,0.6191549195,0.5926082059,0.1548980077,-0.1172980374,-0.4204945778,0.3074130378,,1.671472112,-2.1389850943,-0.5361338153,,0.1268377995,0.0833332519,-0.2673156272,,0.3209471202,-0.3042670604,-0.3117418817
CHRW,2.4990885831,0.2881261728,-0.0353480842,-0.4237844278,0.4629058863,0.4242213755,0.2044888178,-0.0354106196,-0.3796079667,0.1759537184,-0.4787022172,0.2874870401,-0.5658066436,-0.6426696076,-0.2192880867,0.0635153631,0.2171996693,-0.1254358003,-0.6174728221,0.0284277692,0.9723579648,0.1307693011,-0.1009627937,-0.1823516034,0.537234664,1.4581525345,0.1564085984,-0.0473818664,-0.2092011823,0.6014400218,,-0.3607060124,0.9088426017,0.4857945697,,-0.2378648554,0.4351212187,-0.0268495789,,-0.1475259492,0.5088068948,0.0642053578
CAT,1.6644708857,0.2938785059,-0.1298280227,-0.7343821524,0.3502133397,1.6415125253,0.2019674809,0,-0.3402423537,0.5048660302,0.8680318773,0.2944806271,-0.2609428475,-0.5078949111,0.2188791324,1.9831234369,0.1879704082,0,-0.2677520816,0.6141655756,-0.1417708381,0.1066551528,-0.1719248826,-0.3225306667,-0.1421977055,0.4103038188,0.1664359786,-0.1533970296,-0.3784559797,0.2100755499,,0.3416109116,-2.124894275,0.5520746569,,0.0724902721,-0.0547785851,-0.055925313,,0.1092995454,-0.7563632811,0.3522732554
CTAS,-0.2075530966,0.2337043065,-0.4670786695,-0.6136559165,-0.0983524571,-0.0503830116,0.1597702554,-0.2959552345,-0.407586399,-0.0322604387,-0.126601401,0.2344476761,-0.397140416,-0.472984329,-0.0573252879,-0.4021579607,0.1261348715,-0.4783094638,-0.4996461044,-0.3973726586,-0.2980191598,0.057933781,-0.2980191598,-0.3376739636,-0.5998664836,-0.4008271984,0.1332835929,-0.421878604,-0.4545366043,-0.3744752584,,-0.3517749491,0.1041388009,-0.1028080386,,-0.0920597054,0.1619721408,-0.1168626407,,-0.3651122199,-0.202493825,0.2253912252
CSX,2.6466895153,0.3018686229,-0.0562559208,-0.6955463077,0.4573708314,0.712083149,0.2012826358,-0.0278560897,-0.4168925816,0.2743422228,-0.4008721565,0.303503455,-0.4891614835,-0.7605879925,-0.1644743522,2.2097948549,0.2159896202,-0.0583270201,-0.3127215225,0.5724383365,0.6648717924,0.1116014329,-0.1035344065,-0.2119677973,0.4684074281,1.4425710047,0.1584116136,-0.1353693801,-0.2119677973,0.5894465719,,1.4977117059,-1.5449230625,0.7776992123,,0.1041710591,0.1007537252,0,,0.2980961137,-0.1040309084,0.1210391438
CMI,7.3948153588,0.4048169857,-0.032912059,-0.7565338298,0.5854108303,2.4733727441,0.2867368504,0,-0.4284990138,0.4622353789,-0.3939024059,0.4064805148,-0.5359587268,-0.7127172002,-0.1201028605,9.3441309656,0.2757131151,0,-0.3601477024,0.954158815,0.1550414235,0.0831358485,-0.0063936064,-0.1689204492,0.1745594874,1.1198993066,0.1738254914,-0.0063936064,-0.2567255705,0.4487218305,,6.8707582215,-9.1890895421,0.9648578831,,0.0683513114,0.1912272532,-0.0878051213,,0.4919234361,-0.7795993276,0.2741623431
DE,1.7679430038,0.326029676,-0.0379198267,-0.7326186815,0.3285851542,0.8911327251,0.2257079854,0,-0.4396622916,0.2913686077,-0.21962958,0.3252174065,-0.3642395142,-0.5640954541,-0.0752850975,2.3691555986,0.2185418734,0,-0.2897264213,0.5907169027,-0.1133620734,0.104525414,-0.178303041,-0.2945457708,-0.114374207,1.5798509638,0.1966640496,-0.101801596,-0.2463295796,0.5052666214,,1.4780228735,-2.482517672,1.6932130372,,0.1499358703,-0.0048193495,0.0482161912,,0.299348295,-0.7050911097,0.6196408284
DAL,-0.3368725869,0.4771387743,-0.8103281853,-0.8172942817,-0.0843166648,0.285266716,0.2969725716,-0.530185377,-0.5756160797,0.0855429424,-0.3990070031,0.4853327654,-0.8331268391,-0.8566986796,-0.1022459189,-0.0257475819,0.227985518,-0.5665371799,-0.6263640796,-0.0114219793,0,0,0,0,0,0,0,0,0,0,,-0.3110142979,0.0257475819,0,,-0.0507479999,0.6263640796,0,,-0.0969649217,0.0114219793,0
DOV,0.7100101946,0.2538870339,-0.2548657943,-0.5838870938,0.2169962855,0.4705891848,0.1686279867,-0.0433189592,-0.2661616255,0.2330788639,-0.1449006499,0.2534941589,-0.4468198303,-0.5354711585,-0.0612468418,0.3269324883,0.1576073792,-0.1899243405,-0.4158579301,0.1819662842,-0.2438199835,0.1082584392,-0.2884627547,-0.2981911363,-0.2544817217,0.1110896703,0.1483143251,-0.1422271217,-0.3424433412,0.0713723675,,-0.1436566965,-0.5707524718,0.3549096538,,-0.1496963046,0.1176667938,-0.0442522049,,-0.0511125797,-0.4364480059,0.3258540892
DNB,0.8977027451,0.1931324359,-0.0240758755,-0.3867719415,0.3424269718,0.0009618414,0.1348796996,-0.1138240378,-0.4989403406,0.0007125171,-0.5643109188,0.1936721512,-0.6446565744,-0.693009297,-0.4114909436,0.4289803654,0.1434119591,-0.0240758755,-0.3823081664,0.2532988185,0.719042476,0.1228831394,0,-0.2650576522,0.4528554634,0.9104794799,0.157599874,0,-0.3281141767,0.4241697766,,0.428018524,0.2900621106,0.1914370039,,0.1166321742,0.1172505142,-0.0630565245,,0.2525863014,0.1995566449,-0.0286856868
ETN,1.1162539706,0.2623302675,-0.1704897412,-0.689738845,0.2966255225,0.9978273604,0.1800924452,-0.0169308357,-0.2693940383,0.3977253063,0.325863085,0.2619695592,-0.1779146774,-0.5158028867,0.1091589758,1.5953143232,0.1695350757,-0.0169308357,-0.3143576006,0.5899941098,0.709722435,0.1317725169,-0.0073964497,-0.1984929522,0.417953571,0.8793579279,0.1541213228,-0.0073964497,-0.2052814832,0.4223882897,,0.5974869628,-0.8855918882,0.1696354929,,-0.0449635623,0.1158646484,-0.006788531,,0.1922688035,-0.1720405388,0.0044347187
EMR,1.2525971604,0.2485636194,-0.0444907232,-0.5611428723,0.3402013119,0.320428064,0.1583758483,-0.0329218107,-0.2398946144,0.1778937419,-0.4405736847,0.2521851902,-0.4732840314,-0.5785378276,-0.2236758148,0.8273247341,0.1560191612,-0.0329218107,-0.3795685413,0.3981173185,0.5588750508,0.1248527327,-0.0369489665,-0.2107386293,0.3634534531,0.7264718769,0.1533230945,-0.0369489665,-0.2929678727,0.3659166088,,0.5068966701,-0.2684496833,0.1675968261,,-0.1396739269,0.168829912,-0.0822292434,,0.2202235766,-0.0346638654,0.0024631557
EFX,0.2728887135,0.2292400316,-0.2258262586,-0.5682293407,0.1064930206,0.7443898186,0.1485574686,-0.1511851138,-0.2840778783,0.3849958355,0.7760486374,0.2288984375,-0.2217621431,-0.3447452864,0.2581775923,0.3598369018,0.1355406464,-0.0890379971,-0.3341626949,0.2301969698,0.4349014705,0.1121754897,-0.080596843,-0.18093039,0.3276519731,0.4649874036,0.1633235352,-0.0393232516,-0.297495152,0.2382216705,,-0.3845529168,0.0750645687,0.0300859331,,-0.0500848166,0.1532323049,-0.116564762,,-0.1547988657,0.0974550033,-0.0894303026
EXPD,1.3304696365,0.3144150371,-0.1010654241,-0.5808438767,0.2806877479,-0.2556657846,0.2051969107,-0.380683656,-0.6538880285,-0.141734112,-0.897554977,0.3197227797,-0.9034532453,-0.9041350283,-0.6370459936,0.2675269245,0.2209574964,-0.1010654241,-0.5761440292,0.1085290304,1.0190530742,0.121610928,0,-0.1359007943,0.5983015129,0.7063014318,0.1459835951,0,-0.3040494166,0.3758201528,,0.5231927091,0.7515261497,-0.3127516424,,0.0777439993,0.4402432349,-0.1681486223,,0.2502631424,0.4897724825,-0.2224813601
FAST,2.3146370246,0.3027513912,-0.0394811055,-0.5195971114,0.4203336748,-0.0990392548,0.2133136398,-0.363290731,-0.6453265684,-0.0486187149,-0.8594131897,0.3042273753,-0.8961262192,-0.903182064,-0.5853580205,0.5762578676,0.2104722985,-0.0394811055,-0.5708667307,0.2211102014,0.3820370604,0.103987837,-0.0620312495,-0.1968126489,0.3161103718,0.1488660384,0.1179658961,-0.0620312495,-0.2667151586,0.1184126465,,0.6752971224,-0.1942208072,-0.233171022,,0.0744598377,0.3740540818,-0.0699025097,,0.2697289163,0.0950001704,-0.1976977253
FDX,0.3768841243,0.2637116714,-0.4539889492,-0.7131043918,0.1231876965,0.9311870407,0.1839677897,-0.0428531399,-0.3917006999,0.3696266183,0.7947401565,0.2635294324,-0.170284717,-0.3838265375,0.2284578815,0.6320250093,0.1467484523,-0.0859139323,-0.3169702723,0.3419528053,0.3013121099,0.1116733786,-0.1301526582,-0.2412009478,0.2388786619,0.2513205994,0.1668897389,-0.0522874232,-0.3928034582,0.1358022111,,-0.2991620314,-0.3307128994,-0.0499915105,,0.0747304276,0.0757693245,-0.1516025104,,-0.027673813,-0.1030741434,-0.1030764508
FLS,4.8031487106,0.3805687435,-0.1079812207,-0.7310483064,0.5049377893,0.6651565412,0.231818573,-0.3111601849,-0.4952931186,0.2255769601,-0.8449539907,0.381792098,-0.8786473517,-0.8790271721,-0.4452668342,3.3540750076,0.264626399,-0.1778028718,-0.3507765616,0.598635135,1.0760601092,0.1249826152,-0.0667417629,-0.2033240851,0.6060833638,1.9900581651,0.198556572,-0.0667417629,-0.2581535196,0.5827250169,,2.6889184664,-2.2780148984,0.9139980559,,0.144516557,0.1474524765,-0.0548294345,,0.3730581749,0.0074482288,-0.0233583469
FLR,2.176944259,0.3721751757,-0.0547550432,-0.6997753553,0.3291081441,1.2421570899,0.2317546975,-0.1665919757,-0.4064461333,0.3627031531,-0.2800646493,0.3764505682,-0.5814878044,-0.5949906919,-0.0858350881,1.5870098382,0.2481690676,-0.0747531735,-0.4502330465,0.4016308087,1.6041312034,0.1435644,-0.013038674,-0.2341007793,0.6993215621,1.3549413851,0.1670327452,-0.013038674,-0.3136445816,0.5351608109,,0.3448527483,0.0171213652,-0.2491898183,,-0.0437869132,0.2161322672,-0.0795438023,,0.0389276556,0.2976907534,-0.1641607512
FTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
FBHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
GD,1.2050098176,0.2074111437,-0.0067104903,-0.6102026227,0.3965520804,1.0753961893,0.1396450616,-0.0067104903,-0.2821808392,0.5421995556,0.5181005382,0.2078900392,-0.0197374323,-0.4423098761,0.2049747288,1.3241598337,0.1437606953,-0.0067104903,-0.2367621455,0.6118331565,0.618662555,0.1248072952,0,-0.1844022937,0.3951560155,0.4057358023,0.1475579024,0,-0.4130873864,0.2346776808,,0.2487636444,-0.7054972787,-0.2129267527,,0.0454186937,0.0523598518,-0.2286850927,,0.0696336009,-0.216677141,-0.1604783347
GE,-0.2090447543,0.2773243687,-0.7093389657,-0.8269038221,-0.0835461486,0.5578018252,0.1517933052,-0.0359607648,-0.3176496334,0.2984729331,0.7764600176,0.2808332494,-0.1497173535,-0.4413154211,0.2105198253,0.2437150733,0.1340035788,-0.0865839814,-0.2757524456,0.1644804049,-0.0632699534,0.097188179,-0.0700069112,-0.2526354606,-0.0670051098,0.143302625,0.1284929989,-0.0083016257,-0.3584176791,0.1048832277,,-0.3140867519,-0.3069850267,0.2065725784,,0.0418971878,0.023116985,-0.1057822185,,-0.1339925282,-0.2314855147,0.1718883375
GWW,1.5381237701,0.2226692305,-0.0725545767,-0.3744924343,0.4382162387,0.7116859133,0.1523859299,-0.0168049793,-0.2734841634,0.3622109329,-0.0474111006,0.2227764733,-0.2842605514,-0.4159811261,-0.0217414099,0.4237536224,0.1628857842,-0.0715088525,-0.3032166035,0.2206856306,0.3097155127,0.1384020333,-0.0661810473,-0.284935325,0.1975201801,0.927928636,0.1775561985,-0.0747800587,-0.2639708885,0.3819586642,,-0.2879322909,-0.1140381097,0.6182131233,,-0.0297324401,0.0182812785,0.0209644365,,-0.1415253023,-0.0231654505,0.1844384841
HON,0.9461900152,0.2408821277,-0.0421917067,-0.6170794511,0.2857243131,0.692098047,0.1557926854,-0.1717147337,-0.3042967732,0.3465024431,0.0473511824,0.2406832998,-0.5637493045,-0.6097708524,0.0192588741,0.5029836089,0.1537524634,-0.0498896764,-0.3243735502,0.2703678819,0.0308219265,0.1201436607,-0.2332908715,-0.3247538549,0.0252950663,0.4985031267,0.1578399834,-0.0593448903,-0.2977147782,0.261397245,,-0.1891144381,-0.4721616824,0.4676812002,,-0.020076777,-0.0003803047,0.0270390767,,-0.0761345612,-0.2450728156,0.2361021787
